,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
2157,France,"A fruity wine with soft tannins that is ready to drink. It has banana, red cherry and light spice flavors, finished off with attractive acidity.",Collection,84,14.0,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,L. Tramier & Fils 2014 Collection  (Beaujolais-Villages),Gamay,L. Tramier & Fils,red,no
2368,France,"A rich wine, full of black fruits, ripe tannins and juicy acidity. It's powerful and structured, showing a mineral texture, bold acidity and ample fruitiness.",Domaine de la Croix Rouge,88,20.0,Beaujolais,Juliénas,,Roger Voss,@vossroger,Signé Vigneron 2012 Domaine de la Croix Rouge  (Juliénas),Gamay,Signé Vigneron,red,no
2421,France,"This tastes bone dry, with a caramel note that's followed by light, bright notes of red berry and apple. The finish is crisp and tight.",Rosé,85,12.0,Beaujolais,Beaujolais Rosé,,Roger Voss,@vossroger,Château de Pizay 2011 Rosé d'Une Nuit Gamay (Beaujolais Rosé),Gamay,Château de Pizay,rose,no
2427,France,"A classically fruity Beaujolais from the south of the region, this is packed with bitter cherry and ripe raspberry flavors. The tannins are soft—plentiful enough to lend structure. It is delicious, juicy and ready to drink.",Les Griottes,85,15.0,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Domaine du Vissoux 2011 Les Griottes  (Beaujolais),Gamay,Domaine du Vissoux,red,no
2431,France,"This has surprisingly structured fruits and firm tannins for a Nouveau, and it still maintains a juicy cherry flavor and ripe acidity. The finish has a tangy, textured character.",Nouveau,85,11.0,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Georges Duboeuf 2012 Nouveau  (Beaujolais),Gamay,Georges Duboeuf,red,no
2671,France,"This is a concentrated, firm and tannic wine. It has a structured feel from Chiroubles, which are the highest vineyards in Beaujolais. With its black fruits, dark tannins and concentrated texture, it could certainly age for 2–3 years, although it is ready to drink now.",Domaine des Pontheux,90,,Beaujolais,Chiroubles,,Roger Voss,@vossroger,Georges Duboeuf 2011 Domaine des Pontheux  (Chiroubles),Gamay,Georges Duboeuf,red,no
2836,France,"From an estate enveloping a magnificent medieval castle, this is a lightly structured cru wine with red cherry and berry flavors. It has a backdrop of tannins and acidity that give it structure. The wine is ripe and fruity at the end and ready to drink.",Gamay,88,,Beaujolais,Brouilly,,Roger Voss,@vossroger,Château de la Terrière 2015  Brouilly,Gamay,Château de la Terrière,red,no
2841,France,"This is a romantic conjunction of names. The cru wine is silky and smooth, with integrated tannins and red-cherry fruit. It is bright and crisply textured, ready to drink from mid-2017.",Domaine du Paradis,88,22.0,Beaujolais,Saint-Amour,,Roger Voss,@vossroger,Georges Duboeuf 2015 Domaine du Paradis  (Saint-Amour),Gamay,Georges Duboeuf,red,no
2842,France,"This cru wine comes from a 44-acre vineyard with 50-year-old vines supplied by one of Duboeuf's regular growers. It is structured and dense, perhaps too dense with its heavy dry tannins. The wine will need time. Drink from 2019.",Domaine Mont Chavy,88,20.0,Beaujolais,Morgon,,Roger Voss,@vossroger,Georges Duboeuf 2015 Domaine Mont Chavy  (Morgon),Gamay,Georges Duboeuf,red,no
2843,France,"Full of crisp fruit, this cru wine is bright with red-berry flavors. It is light and with a cool character that comes from the high altitude of the vineyards. There is an edgy texture that keeps the wine together. Drink now.",Flower Label,88,20.0,Beaujolais,Chiroubles,,Roger Voss,@vossroger,Georges Duboeuf 2015 Flower Label  (Chiroubles),Gamay,Georges Duboeuf,red,no
2844,France,"A floral wine, full of ripe black-cherry fruit and with a firm structure that sustains the wine. This cru wine is rich, still developing, still with enough tannins and acidity to allow it to age further. Drink this attractive wine from mid-2017.",Flower Label,88,20.0,Beaujolais,Fleurie,,Roger Voss,@vossroger,Georges Duboeuf 2015 Flower Label  (Fleurie),Gamay,Georges Duboeuf,red,no
3044,France,"This three-acre parcel has produced a beautiful fruity wine. With red cherry and spice flavors, the wine is perfumed and juicy. Crisp acidity shoots through the attractive fruit to give a wine that is only lightly tannic and ready to drink.",En Rémont Vignes de 1939,88,22.0,Beaujolais,Chénas,,Roger Voss,@vossroger,Pascal Aufranc 2015 En Rémont Vignes de 1939  (Chénas),Gamay,Pascal Aufranc,red,no
3046,France,"Named after the steeply sloping vineyard, the wine is cool, crisp with tight cherry flavors. It is lined with acidity and some tannins. The wine will need another few months to soften out and become richer.",L'Enfer des Balloquets,88,22.0,Beaujolais,Brouilly,,Roger Voss,@vossroger,Robert Perroud 2015 L'Enfer des Balloquets  (Brouilly),Gamay,Robert Perroud,red,no
3058,France,"The wine is still young with its crisp red fruits and tense tannins. It is a structured wine, firm with a dry core and still developing its fruitiness. It will need to age a while yet, so drink from 2018.",Les Michelons,88,25.0,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,Yohan Lardy 2015 Les Michelons  (Moulin-à-Vent),Gamay,Yohan Lardy,red,no
3180,France,"This is one of several estates in this cru appellation where Georges Duboeuf makes and markets the wine. It is lightly wood aged to smooth out the ebullient fruits. Rich and with some firm tannins that will develop, it has concentration and a dense texture. Drink from 2018.",Château de Juliénas,90,22.0,Beaujolais,Juliénas,,Roger Voss,@vossroger,Georges Duboeuf 2015 Château de Juliénas  (Juliénas),Gamay,Georges Duboeuf,red,no
3181,France,"This cru estate is owned by the Duboeuf family. The wine has some wood aging that adds to the rich texture while not detracting from the ripe juicy red-cherry fruit. With its tannins, the wine could age, so drink from late 2017.",Château des Capitans,90,20.0,Beaujolais,Juliénas,,Roger Voss,@vossroger,Georges Duboeuf 2015 Château des Capitans  (Juliénas),Gamay,Georges Duboeuf,red,no
3182,France,"From the south-east facing Côte du Py, this is a powerfully structured wine. It is as full of tannins as of ripe red fruits. The wine with its dense character it likely to age well over several years. Drink from 2018.",Domaine de Javernière Côte du Py,90,20.0,Beaujolais,Morgon,,Roger Voss,@vossroger,Georges Duboeuf 2015 Domaine de Javernière Côte du Py  (Morgon),Gamay,Georges Duboeuf,red,no
3183,France,"Owned by the Darroze family, the cru wine from this estate is produced by Georges Duboeuf. It is a dense wine with balancing rich black fruits. Its spicy cherry-fruit flavor and rich tannins give a wine that should age further. Drink from 2018.",Domaine des Quatres Vents,90,22.0,Beaujolais,Fleurie,,Roger Voss,@vossroger,Georges Duboeuf 2015 Domaine des Quatres Vents  (Fleurie),Gamay,Georges Duboeuf,red,no
3191,France,Ripe perfumed black fruits dominate this cru wine. They float above the firm tannins and concentrated acidity to offer a wine that will become rich and generous as it develops. A touch of pepper and spice adds to the layers of fruit. Drink from 2018,Les Mouilles,90,23.0,Beaujolais,Juliénas,,Roger Voss,@vossroger,Pardon et Fils 2015 Les Mouilles  (Juliénas),Gamay,Pardon et Fils,red,no
3200,France,A four-acre parcel of old vines is the source of this dense and rich wine. It has jammy red berry and cherry fruits that are lifted by the mineral texture and acidity. The wine is balanced although it does need to age. Drink from the end of 2017.,Clos de la Brosse,90,21.0,Beaujolais,Saint-Amour,,Roger Voss,@vossroger,Terroirs et Talents 2015 Clos de la Brosse  (Saint-Amour),Gamay,Terroirs et Talents,red,no
3374,France,"This is a beautifully perfumed wine, ripe with black fruits and generous with its tannins and acidity. It comes from a one-acre parcel called Le Vivier which has 70-year-old vines. It is concentrated, dense and with aging potential. Drink from 2018.",Le Vivier,92,22.0,Beaujolais,Fleurie,,Roger Voss,@vossroger,Yohan Lardy 2015 Le Vivier  (Fleurie),Gamay,Yohan Lardy,red,no
3431,France,"The wine is still young with its crisp red fruits and tense tannins. It is a structured wine, firm with a dry core and still developing its fruitiness. It will need to age a while yet, so drink from 2018.",Les Michelons,88,25.0,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,Yohan Lardy 2015 Les Michelons  (Moulin-à-Vent),Gamay,Yohan Lardy,red,no
3729,France,"Aged in large wood barrels for seven months, the wine is ripe and structured. It also has fine fruitiness, rich tannins and soft acidity. The wine will be better from 2017.",Gamay,86,20.0,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Château Gaillard 2015  Beaujolais-Villages,Gamay,Château Gaillard,red,no
3741,France,"With a vineyard planted in the traditional Beaujolais style of individual bushes rather than trained on wires, this is a light, soft and fruity wine. It has attractive tannins and fresh red fruits. Drink now.",Château des Vierres,86,17.0,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Georges Duboeuf 2015 Château des Vierres  (Beaujolais-Villages),Gamay,Georges Duboeuf,red,no
3751,France,There is an earthy character to this wine. It gives a dry edge to the black fruits and crisp acidity. The wine has the tannins typical of the appellation although it also has a light herbal touch that is less attractive. Drink now.,Gamay,86,19.0,Beaujolais,Morgon,,Roger Voss,@vossroger,Domaine de Leyre-Loup 2014  Morgon,Gamay,Domaine de Leyre-Loup,red,no
3813,France,"This is a generous, ripe wine, full of red fruits and soft acidity. It's already enjoyable, but will benefit from aging until 2015 to bring out the refreshing fruitiness even more.",Gamay,88,22.0,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Château de Corcelles 2012  Beaujolais-Villages,Gamay,Château de Corcelles,red,no
3955,France,"Dominated by its dry tannins, this is a tight black currant and dark plum skin-flavored wine, surrounded by a firm core of tannins, a firm and dark-hued wine.",Clos des Garands,90,,Beaujolais,Fleurie,,Roger Voss,@vossroger,Georges Duboeuf 2009 Clos des Garands  (Fleurie),Gamay,Georges Duboeuf,red,no
3956,France,"There is great structure here, with dusty tannins percolating through the rich wine. It has power, concentration and density, with cocoa and cherry flavors well integrated. Think about aging for 1–2 years.",Sélection,90,,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,Georges Duboeuf 2009 Sélection  (Moulin-à-Vent),Gamay,Georges Duboeuf,red,no
4279,France,"Sweet and sparkling, this light, fresh wine is delicious on a hot day or as an apéritif. It is crisp with red berry fruits and a soft, sweet aftertaste that is cut with acidity.",Caprice,85,24.0,France Other,Vin de France,,Roger Voss,@vossroger,Les Rocailles NV Caprice Gamay (Vin de France),Gamay,Les Rocailles,red,no
4384,France,"This rich wine features ripe, jammy red-plum and cherry fruits. It is dense, with its tannins and a touch of pepper coming from the high alcohol. The wine is a blend from five parcels. Ripe and with a juicy aftertaste, it will be best from 2018.",Vuril,88,22.0,Beaujolais,Brouilly,,Roger Voss,@vossroger,Domaine Bertrand 2015 Vuril  (Brouilly),Gamay,Domaine Bertrand,red,no
4402,France,"This wine is structured and firm, its red fruits waiting behind the wood and tannin complexity. It shows plenty of potential through its good acidity and cherry fruitiness. Drink from late 2018.",Collection,88,19.0,Beaujolais,Morgon,,Roger Voss,@vossroger,L. Tramier & Fils 2016 Collection  (Morgon),Gamay,L. Tramier & Fils,red,no
4429,France,"The small Beaujolais cru of Chénas is next door to Moulin à Vent. As this wine shows, it has the same firm structure and ripe fruit. The wine from the cru's chateau is dense, smoky and has plenty of firm tannins. It is a wine to age, so drink from 2019.",Gamay,89,20.0,Beaujolais,Chénas,,Roger Voss,@vossroger,Château de Chénas 2015  Chénas,Gamay,Château de Chénas,red,no
4439,France,"With no wood aging, the fruit speaks in this wine. However, it does have tannins and a stalky, young character, along with generous black-cherry fruit and a touch of spice. The wine needs to age a few months more, so drink from 2018.",Gamay,89,40.0,Beaujolais,Chénas,,Roger Voss,@vossroger,Florent Descombe 2015  Chénas,Gamay,Florent Descombe,red,no
4852,France,"This is a perfumed wine that is soft, full of red cherry fruit and gentle tannins. It does have a dry core that gives the wine shape and there is plenty of juicy fruitiness at the end. The wine is made for the Hospices, a charity in Lyon.",Domaine des Hospices Civils de Lyon,87,,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Collin-Bourisset 2014 Domaine des Hospices Civils de Lyon  (Beaujolais-Villages),Gamay,Collin-Bourisset,red,no
5124,France,"Named after the medieval rulers of the village, this cru wine is firm and structured in the solid style of the appellation. It has rich black cherry and black-plum fruits that come with juicy acidity. At the same time, the tannins and the dry core promise considerable aging. Drink from 2019.",Les Capitans,92,25.0,Beaujolais,Juliénas,,Roger Voss,@vossroger,Trenel Fils 2015 Les Capitans  (Juliénas),Gamay,Trenel Fils,red,no
5130,France,"Owned by Beaune merchant Louis Jadot, this cru estate produces some impressive wines. While its alcohol is excessive for a Beaujolais, it wears its power well. The black plum fruit and tannins from wood aging that are still very present will soften over the next year to give a rich generous wine with a style that is Burgundian rather than traditional Beaujolais. Drink from 2018.",Côte du Py,92,43.0,Beaujolais,Morgon,,Roger Voss,@vossroger,Château des Jacques 2015 Côte du Py  (Morgon),Gamay,Château des Jacques,red,no
5132,France,"The northernmost of the Beaujolais cru villages can produce wines that are Burgundian in their structure. This wine fits that profile well with its dark tannins and rich concentration. Densely textured with both black-cherry fruit and a dry core, the wine is taking its time to develop. Drink from late 2017 or 2018.",Vieilles Vignes,92,25.0,Beaujolais,Saint-Amour,,Roger Voss,@vossroger,Domaine des Chers 2015 Vieilles Vignes  (Saint-Amour),Gamay,Domaine des Chers,red,no
5659,France,"Richly structured this wine, from well-exposed vines (hence the land of light in the name) is fruity with black cherry and some firm tannins. It is going to develop into a serious, complex wine. Drink from 2018.",Cuvée Terre de Lumière,90,24.0,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,Château de Chatelard 2015 Cuvée Terre de Lumière  (Moulin-à-Vent),Gamay,Château de Chatelard,red,no
5665,France,"From an small estate that also has vines in Chénas and Saint-Amour, this is a firmly tannic wine that also has attractive juicy red-berry fruits. The wine, still young, will repay aging allowing it to broaden out with rich fruit and a soft texture. Drink this cru from late 2017.",Domaine de Roche Noire,90,24.0,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,Georges Duboeuf 2015 Domaine de Roche Noire  (Moulin-à-Vent),Gamay,Georges Duboeuf,red,no
6179,France,"This Burgundian negociant take on Beaujolais is soft and ripe. Juicy red-berry fruits and supporting acidity receive a firm base of tannins. It is young, fruity and ready to drink from 2018.",Collection,87,22.0,Beaujolais,Saint-Amour,,Roger Voss,@vossroger,L. Tramier & Fils 2016 Collection  (Saint-Amour),Gamay,L. Tramier & Fils,red,no
6598,France,"Very fresh, crisp raspberry flavors are layered with acidity. This shows the bright red fruit character of 2007—light, fragrant, maybe finishing with some leanness.",Cuvée Tradition,86,,Beaujolais,Juliénas,,Roger Voss,@vossroger,Domaine du Clos du Fief 2007 Cuvée Tradition  (Juliénas),Gamay,Domaine du Clos du Fief,red,no
6600,France,"Soft and fruity, showing attractive ripe red cherry fruits along with hints of candy, light acidity and gentle tannins. It's a pleasing wine, easy and ready to drink, one of those Beaujolais that is best slightly chilled.",Gamay,86,,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Georges Duboeuf 2007  Beaujolais-Villages,Gamay,Georges Duboeuf,red,no
6990,France,"Lightly pink in color, this sweet sparkling wine is full of ripe strawberry fruit. And with its low alcohol, it's the perfect pairing for strawberries and cream. Acidity keeps it in balance.",Caprice des Rocailles,86,22.0,France Other,Savoie,,Roger Voss,@vossroger,Les Rocailles NV Caprice des Rocailles Gamay (Savoie),Gamay,Les Rocailles,red,no
7121,France,"Tannins form a dark barrier to start this wine. It is still young, dense with chocolate as well as fruit flavors, showing the bitter, tough flavors that come from too much extraction. The fruit will hopefully come through and soften the tannins and bring out the richness. Drink from 2018.",Les Michelons,87,25.0,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,Yohan Lardy 2014 Les Michelons  (Moulin-à-Vent),Gamay,Yohan Lardy,red,no
7507,France,"Firm, concentrated and dense, this is a solid wine with a good future. Rich black fruits, red cherries and expressive acidity are all coming together alongside the dry core of tannins. Age this fine wine and drink from 2017.",Côte du Py,92,25.0,Beaujolais,Morgon,,Roger Voss,@vossroger,Lucien Lardy 2014 Côte du Py  (Morgon),Gamay,Lucien Lardy,red,no
7646,France,"Henry Fessy's can-can dancer is with us again on this bottle of red cherry fruity wine. There is a texture of acidity, the fruit attractively integrated. Soft tannins complete this fresh, fruity wine.",Nouveau,85,9.0,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Henry Fessy 2011 Nouveau  (Beaujolais),Gamay,Henry Fessy,red,no
7652,France,"A wine with some warm black cherry fruit as well as structured acidity. It has a dry texture to go with the fruit, making it a ripe but food friendly wine.",Automne Festif,85,,Beaujolais,Côte de Brouilly,,Roger Voss,@vossroger,Vignerons de Bel Air 2010 Automne Festif  (Côte de Brouilly),Gamay,Vignerons de Bel Air,red,no
7732,France,"Organically grown grapes went into this perfumed wine. It is fruity, crisp with bright cherry flavors and lifted with acidity. The wine is still developing, still bringing its tannins to the fore. Drink from 2018.",Côte de Py,88,28.0,Beaujolais,Morgon,,Roger Voss,@vossroger,Domaine de la Bonne Tonne 2014 Côte de Py  (Morgon),Gamay,Domaine de la Bonne Tonne,red,no
7741,France,"The vines around Chiroubles are some of the highest in Beaujolais. That gives wines with a structure, although here, this structure has been lost in the heavy fruit. It is very full, rich and with black-cherry flavors. Drink from 2017.",Collection,88,17.0,Beaujolais,Chiroubles,,Roger Voss,@vossroger,L. Tramier & Fils 2015 Collection  (Chiroubles),Gamay,L. Tramier & Fils,red,no
8045,France,"The wine has weight and richness while also showing considerable acidity and dry tannic structure. It's firm, the fruitiness showing slowly through the mineral texture. It will be better in 2015.",Eté Intense,86,17.0,Beaujolais,Côte de Brouilly,,Roger Voss,@vossroger,Vignerons de Bel Air 2013 Eté Intense  (Côte de Brouilly),Gamay,Vignerons de Bel Air,red,no
8047,France,"The wine is round, soft and ripe with attractive lightweight tannins. Plum fruit flavors are right up front. It's rich while remaining easy and drinkable now.",Gamay,86,20.0,Beaujolais,Brouilly,,Roger Voss,@vossroger,Henry Fessy 2012  Brouilly,Gamay,Henry Fessy,red,no
8055,France,"The wine is so young, it almost has a prickle on the tongue. It is very fresh and still rather tight with acidity and crisp berry fruits. Wait until 2015 for this fruity wine to settle down and open up.",Gamay,86,17.0,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Domaine des Marrans 2013  Beaujolais-Villages,Gamay,Domaine des Marrans,red,no
8056,France,"The year's bottle aging has rounded this wine out and has softened the fresh red fruits into a more generous, full-bodied texture. The acidity, always present shows as a counterpoint to the ripe fruits. Drink now.",Gamay,86,15.0,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Domaine Dupeuble Père et Fils 2012  Beaujolais,Gamay,Domaine Dupeuble Père et Fils,red,no
8057,France,"Bold and fruity, this is packed with cherries as well as acidity. A plum skin texture gives structure to this still closed-up wine. Wait until 2015.",Gamay,86,15.0,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Domaine Lagneau 2013  Beaujolais-Villages,Gamay,Domaine Lagneau,red,no
8517,France,"Light and only gently structured, this is a cru wine that is more about juicy red fruits. It has attractive acidity and a touch of spice. It is likely to be ready to drink in the next few months, certainly by mid-2017.",Léon,87,18.0,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2015 Léon  (Moulin-à-Vent),Gamay,Jean-Luc and Paul Aegerter,red,no
8518,France,"This is a ripe, soft and rich cru wine. With its attractive cherries and gentle tannic structure, it is fruity and easy. The acidity that comes through at the end gives the wine a crisp aftertaste. Drink now.",Pisse Vieille,87,27.0,Beaujolais,Brouilly,,Roger Voss,@vossroger,Jean-Paul Brun 2015 Pisse Vieille  (Brouilly),Gamay,Jean-Paul Brun,red,no
