,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
4526,France,"From the appellation that is at a summit of Loire sweet wines, this golden wine balances intense acidity with intense botrytis and honey flavors. Ripe peaches and pineapples dominate the fruit profile of this concentrated, beautiful wine. It is just approaching its peak, so wait a little longer, until 2018.",Vin Rare,95,40.0,Loire Valley,Bonnezeaux,,Roger Voss,@vossroger,Château de Fesles 2011 Vin Rare  (Bonnezeaux),Chenin Blanc,Château de Fesles,white,no
4744,US,"Spice and melons illuminate the nose; the wine displays amazing concentration, with deep, syrupy peach and apricot fruit, and a bit of sugar and toasted coconut in the finish. Good acid balance. It's still very young, but immediately delicious.",Ice Wine,90,19.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Kiona 1999 Ice Wine Chenin Blanc (Yakima Valley),Chenin Blanc,Kiona,white,no
4812,South Africa,"There's a toasty streak that adds depth to the apple and melon fruit core of this wine. Soft tropical fruit accents appear in the mouth, with a brioche-flavored finish sealing the deal.",Kloof Street,85,20.0,Swartland,,,Lauren Buzzeo,@laurbuzz,Mullineux 2011 Kloof Street Chenin Blanc (Swartland),Chenin Blanc,Mullineux,white,no
4962,France,"Powerful and rich, this is a concentrated, wood-aged wine. It has toasted almonds as well as ripe pear and green-plum fruit. With a fine tension under the fruitiness, it will age over several years.",Les Terrasses,90,25.0,Loire Valley,Anjou,,Roger Voss,@vossroger,Château de la Roulerie 2011 Les Terrasses Chenin Blanc (Anjou),Chenin Blanc,Château de la Roulerie,white,no
5186,France,"A fruity wine, it's packed with citrus, freshly peeled apples and white peaches. Acidity cuts through the ripeness, giving total freshness at this stage. It's a wine to be drunk for its fruitiness now, or aged until 2018 for more complex flavors.",Sec,90,17.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Château Moncontour 2012 Sec  (Vouvray),Chenin Blanc,Château Moncontour,white,no
5284,South Africa,"This is a ripe and fruity selection, boasting forward notes of tropical fruit, peach, yellow melon and juicy orange. Pineapple and peach flavors dominate the medium-weight mouth, ending bright and clean thanks to ample final acidity. Drink up.",Estate,87,19.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Morgenhof 2011 Estate Chenin Blanc (Stellenbosch),Chenin Blanc,Morgenhof,white,no
6137,France,"Light while also intense with good acidity and unctuous honey flavors, this is already a delicious wine, even though it is young. Ripe orange and lemon go with the honey to give a fine wine that could be drunk now, although that would be a shame. It would be much better to wait until 2017. With just over 200 acres of vines, Quarts de Chaume is a tiny enclave in the Layon Valley.",Chenin Blanc,92,80.0,Loire Valley,Quarts de Chaume,,Roger Voss,@vossroger,Domaine des Baumard 2011  Quarts de Chaume,Chenin Blanc,Domaine des Baumard,white,no
6304,France,"This is a light, medium sweet wine with touches of acidity to go with the fragrant pear fruits. Drink now.",Chenin Blanc,83,16.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Remy-Pannier 2012  Vouvray,Chenin Blanc,Remy-Pannier,white,no
6376,South Africa,"Clean and pure, this is a bright and easy-drinking expression. Notes of white melon, pear, key lime and honeysuckle grace the bouquet and palate. Zesty citrus flavors coupled with medium acidity lend an attractive freshness through the close. Drink now.",Bergkelder Selection,87,11.0,South Africa,,,Lauren Buzzeo,@laurbuzz,Fleur Du Cap 2016 Bergkelder Selection Chenin Blanc (South Africa),Chenin Blanc,Fleur Du Cap,white,no
6380,South Africa,"Aromas of orange, pineapple and guava are ripe but bright on the nose of this fresh white. Flavors of green plum and apple skin lend verve to the medium-weight mouthfeel, in addition to cleansing acidity that enlivens the finish. Drink now.",Chenin Blanc,87,12.0,Western Cape,,,Lauren Buzzeo,@laurbuzz,Tussock Jumper 2015 Chenin Blanc (Western Cape),Chenin Blanc,Tussock Jumper,white,no
6395,South Africa,"A hint of lightly toasted brioche adds depth to the red apple and honeydew fruit aromas and flavors. The mouthfeel is surprisingly round, fleshed out by the rich fruit flavors, but then picks up some verve on the lightly bitter, pithy finish. Drink now.",Chenin Blanc,86,12.0,Western Cape,,,Lauren Buzzeo,@laurbuzz,Ngumu 2015 Chenin Blanc (Western Cape),Chenin Blanc,Ngumu,white,no
6418,South Africa,"This unoaked white offers rounded tropical fruit aromas and flavors like pineapple, melon and pear. The style is straightforward and exuberant, with balanced acidity and a fruity, lush finish. Keep on the table for everyday enjoyment.",Chenin Blanc,85,10.0,Western Cape,,,Susan Kostrzewa,@suskostrzewa,Fairvalley 2008 Chenin Blanc (Western Cape),Chenin Blanc,Fairvalley,white,no
6748,US,"This insanely sippable wine is ready for spring oyster gatherings or gulping down on its own. Low in alcohol with just 6 g/L residual sugar, it's crisp, deliciously light and yet mouth-filling in tropical fruit and peach. Another masterful Chenin from Dry Creek Vineyard.",Dry,89,12.0,California,Clarksburg,Central Valley,Virginie Boone,@vboone,Dry Creek Vineyard 2012 Dry Chenin Blanc (Clarksburg),Chenin Blanc,Dry Creek Vineyard,white,no
6785,France,"Made from Chenin Blanc, harvested at night, and with a delicate botrytis edge, this is a fresh wine, reveling in honeyed acidity, with quince and honey-and-lemon flavors. It's fresh to drink now, but will certainly age.",Le Moelleux du Clos,89,61.0,Southwest France,Vin de Pays du Comté Tolosan,,Roger Voss,@vossroger,Clos Triguedina 2005 Le Moelleux du Clos Chenin Blanc (Vin de Pays du Comté Tolosan),Chenin Blanc,Clos Triguedina,white,no
7177,South Africa,"Beautiful aromas lead the bouquet of this wine, a bright and fruity mix of tropical fruit, ripe pear, white melon, sweet orange and a touch of honeycomb. The well-balanced, medium-weight palate offers clean notes of melon, Anjou pear and clementine, followed by a clean, lightly spiced finish. Drink now–2016.",Chenin Avec Chêne,90,35.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Simonsig 2012 Chenin Avec Chêne Chenin Blanc (Stellenbosch),Chenin Blanc,Simonsig,white,no
7370,South Africa,"This oaked Chenin shows great structure and power now, with the potential to cellar nicely for another three years or beyond. Toasted brioche, wood-grilled peaches and quince aromas open up immediately on the bouquet and carry through to the palate alongside seductive accents of sweet spice, almond skin and orange oil. The texture is round and full, and the spice-driven finish is long and satisfying.",Signature,92,28.0,Western Cape,,,Lauren Buzzeo,@laurbuzz,Jean Daneel 2010 Signature Chenin Blanc (Western Cape),Chenin Blanc,Jean Daneel,white,no
7379,South Africa,"A stunning and inviting dessert wine that exhibits the superb balance that Chenin Blanc can lend to the style. Honeyed peach and apricot notes abound, with spicy accents of ginger, clove-spiked orange and toast. The mouth is lush and slightly viscous, but the racy acidity provides good cut. This ends with a long, spice-driven finish. Delicious now, but it should age for another five years.",T Noble Late Harvest,92,55.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Ken Forrester 2009 T Noble Late Harvest Chenin Blanc (Stellenbosch),Chenin Blanc,Ken Forrester,white,no
8065,US,"It's listed on the back label as off dry, and in fact has 11 g/L of residual sugar, but it boasts a certain roundness and fruit persistence. Though labeled Columbia Valley, in fact it's 100% estate (Red Mountain) fruit, and old vine—30+ years—to boot. It's well-crafted, with a mix of citrus—flesh and rind—plenty of backing acidity and a thoroughly refreshing finish.",Chenin Blanc,91,15.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Kiona 2013 Chenin Blanc (Columbia Valley (WA)),Chenin Blanc,Kiona,white,no
8207,France,"One of the best sparkling Vouvrays, this 2005 vintage has an extra richness from the year. It has the mineral, chalky edge of Chenin Blanc, but this is rounded out with pear, white peach and sweet almond flavors. Good to drink now, but also worth aging for 2–3 years.",Cuvée Prédilection Brut,91,19.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Château Moncontour 2005 Cuvée Prédilection Brut  (Vouvray),Chenin Blanc,Château Moncontour,white,no
8602,South Africa,"Backsberg's wines have style, and this Chenin is another in a line of successes. An assertive nose of pear, apple, honey and flowers leads a wine offering lovely citrus and floral flavors, cut slightly with a dancing acidity. The wine has dimension but a fresh edge.",Chenin Blanc,88,13.0,Western Cape,,,Susan Kostrzewa,@suskostrzewa,Backsberg 2007 Chenin Blanc (Western Cape),Chenin Blanc,Backsberg,white,no
8692,US,"Fruity, floral and honeylike flavors give a lot of oomph to this wonderfully expressive, medium-bodied wine. It's as if honeysuckle and orange blossoms were soaked in fresh pear juice.",Dry,88,15.0,California,Mendocino County,,Jim Gordon,@gordone_cellars,Graziano 2014 Dry Chenin Blanc (Mendocino County),Chenin Blanc,Graziano,white,no
8913,France,"You can tell this is going to be sweet by its gold color. And there's no deception, except along with that sweetness there is a surprising (and delightful) freshness, which comes from sweet apple juice acidity. The toffee is more obvious than the honey, but this remains a fresh, vivid wine.",Sélection de Grains Nobles,92,,Loire Valley,Coteaux du Layon,,Roger Voss,@vossroger,Domaine Philippe Delesvaux 2005 Sélection de Grains Nobles Chenin Blanc (Coteaux du Layon),Chenin Blanc,Domaine Philippe Delesvaux,white,no
8971,US,"The aromas draw you in with notes of kiwi, pineapple and mango. Brown sugar and tropical fruit flavors are intensely sweet and rich, with an unctuous feel.",Estate Bottled Ice Wine,93,25.0,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Kiona 2014 Estate Bottled Ice Wine Chenin Blanc (Red Mountain),Chenin Blanc,Kiona,white,no
9217,South Africa,"Satisfying melon and refreshing citrus give this enticing wine subtance and spirit. Crisp apple adds to the clean, fruity character in the mouth. Consider this with a fresh plate of sushi or spicy grilled chicken for a knockout warm-weather pairing.",Chenin Blanc,87,12.0,Robertson,,,Susan Kostrzewa,@suskostrzewa,Rietvallei Estate Wine 2007 Chenin Blanc (Robertson),Chenin Blanc,Rietvallei Estate Wine,white,no
9229,US,"Always an interesting, exotically offbeat wine, Ballentine's '07 is particularly crisp and savory. It's showing pineapple, green apple, tangerine, fig, vanilla and honey flavors that finish with a clean, dry streak of minerality. Very nice as an alternative to Viognier or Sauvignon Blanc.",Pocai Vineyard Old Vines,87,15.0,California,Napa Valley,Napa,,,Ballentine 2007 Pocai Vineyard Old Vines Chenin Blanc (Napa Valley),Chenin Blanc,Ballentine,white,no
9355,South Africa,"Lively and balanced, this wine offers fresh fruit flavors and an undertone of minerality. A classic but uncomplicated white with a dry character that will pair well with fresh seafood—think ceviche—or Thai food.",Chenin Blanc,84,9.0,Western Cape,,,Susan Kostrzewa,@suskostrzewa,Indaba 2007 Chenin Blanc (Western Cape),Chenin Blanc,Indaba,white,no
9439,France,"From the Layon Valley with its ability to produce botrytised grapes from the morning mists in the autumn, this wine is rich, sweet with orange marmalade and honey flavors. The contrast with the acidity is what makes this wine so light, perfumed and poised. It needs to age, so drink from 2019.",Les Tétuères,92,45.0,Loire Valley,Coteaux du Layon Chaume,,Roger Voss,@vossroger,Domaine du Petit Métris 2014 Les Tétuères Chenin Blanc (Coteaux du Layon Chaume),Chenin Blanc,Domaine du Petit Métris,white,no
9618,France,"A gold-colored, supremely rich wine produced from a selection of grapes in the vineyard. It is concentrated with honey and lemon flavors, acidity for a great balance and touches of orange peel. Drink this special wine from 2018.",Les Larmes de Bacchus,93,127.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine Pichot 2011 Les Larmes de Bacchus  (Vouvray),Chenin Blanc,Domaine Pichot,white,no
9640,US,"A blend of Chenin Blanc (75%), Chardonnay (20%) and Viognier barrel-fermented in French oak and acacia, this wine brings notes of dried apple and flowers, drinking off dry.",Chenin Blanc,85,18.0,Washington,Washington,Washington Other,Sean P. Sullivan,@wawinereport,Coeur d'Alene 2013 Chenin Blanc (Washington),Chenin Blanc,Coeur d'Alene,white,no
9642,France,"White fruit and almonds dominate the flavor of this perfumed wine. It has a young, fruity structure that hints at minerality while letting acidity and freshness show strongly. The end is bright and crisp, ready to drink.",Spring,85,20.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine Vincent Carême 2013 Spring  (Vouvray),Chenin Blanc,Domaine Vincent Carême,white,no
9742,South Africa,"Medium-intense scents of honeydew, baked apple, peach pit and dried wildflowers are direct and forward on the nose, while flavors of citrus and melon fill the smooth but not flabby palate. Solid acidity lifts the mouthfeel and lends freshness through the finish, which is otherwise full of rich notes of apple pie, honeycomb and orange marmalade. Drink now.",The Old Orchards,89,17.0,Paarl,,,Lauren Buzzeo,@laurbuzz,Bellingham 2015 The Old Orchards Chenin Blanc (Paarl),Chenin Blanc,Bellingham,white,no
9888,South Africa,"This is a lush Chenin, with upfront toasty scents of wood-grilled peach, yellow melon, roasted nuts and orange oil. The medium-weight mouth is round and full in feel, with just enough acidic lift to keep the palate refreshed. The finish is all toasted spice and peach pit. Drink now.",Chenin Blanc,88,45.0,Overberg,,,Lauren Buzzeo,@laurbuzz,Luddite 2013 Chenin Blanc (Overberg),Chenin Blanc,Luddite,white,no
9896,South Africa,"There's a delicate hint of toasted spice that lends depth to the yellow apple and melon fruit core of this wine. The well-balanced palate offers ripe fruit flavors and medium acidity, while hints of orange peel and toast linger softly on the close. Drink now.",The Den,88,13.0,Swartland,,,Lauren Buzzeo,@laurbuzz,Painted Wolf 2015 The Den Chenin Blanc (Swartland),Chenin Blanc,Painted Wolf,white,no
10016,US,"Chenin Blanc is a difficult variety to get right in California, but few wineries do it better than Foxen. They have a solid track record, going back for years, of wrestling the wine's difficulties into elegant submission. With the 2012 vintage, Foxen has crafted one of their best ever. It's dry, moderate in alcohol and crisp in acidity, with complex peach, citrus, green apple, wax bean and herb flavors.",Ernesto Wickenden Vineyard Old Vines,91,25.0,California,Santa Maria Valley,Central Coast,,,Foxen 2012 Ernesto Wickenden Vineyard Old Vines Chenin Blanc (Santa Maria Valley),Chenin Blanc,Foxen,white,no
10502,South Africa,"This stylish and affordable Chenin hits all the right notes with its full-bodied nose of fresh fruit, spice and citrus and balanced, pretty flavors of tropical fruit. Slightly curvy but still fresh, it's a white with energy and extra character.",Chenin Blanc,88,10.0,Stellenbosch,,,Susan Kostrzewa,@suskostrzewa,Spier 2006 Chenin Blanc (Stellenbosch),Chenin Blanc,Spier,white,no
10684,France,"This crisp wine with light citrus, toast and spice flavors is open and fruity. Behind the apple and pear flavors there are almonds, pepper and tangy acidity. Drink this wine now.",Les Bois de Vaux Sec,85,16.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Collegiale des Domaines de Loire 2015 Les Bois de Vaux Sec  (Vouvray),Chenin Blanc,Collegiale des Domaines de Loire,white,no
11128,France,"This is a nutty wine with flavors of hazelnuts and a mature character. The fruit has developed a honey flavor, keeping the acidity and an attractive spicy aftertaste. This ripe wine is ready to drink.",Brut,87,,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine de Vaugondy NV Brut  (Vouvray),Chenin Blanc,Domaine de Vaugondy,white,no
11264,France,"A bright, light and fruity wine that is ready to drink. It has flavors of currants, juicy orange as well as a mineral texture and a touch of bitter marmalade. Drink now.",Le P'tit Chenin,86,11.0,Loire Valley,Anjou,,Roger Voss,@vossroger,Château de la Roulerie 2013 Le P'tit Chenin Chenin Blanc (Anjou),Chenin Blanc,Château de la Roulerie,white,no
11512,France,"Gold color, this is a delicious ripe wine from the small section of the Layon valley that also has the Quarts de Chaume vineyard. The honeyed character is cut through with dry botrytis, baked apples and brown sugar, balanced by intense acidity.",Les Aunis,92,35.0,Loire Valley,Coteaux du Layon Chaume,,Roger Voss,@vossroger,Château de la Roulerie 2010 Les Aunis Chenin Blanc (Coteaux du Layon Chaume),Chenin Blanc,Château de la Roulerie,white,no
11670,US,"A pretty, floral wine, bright with melon and honey, straightforwardly lean and ready to drink at your next picnic, hike or ski trip, a great value for a solidly well-made wine with texture to pair with charcuterie, falafel or spiced chickpeas.",Dry,87,11.0,California,Clarksburg,Central Valley,Virginie Boone,@vboone,Blue Plate 2012 Dry Chenin Blanc (Clarksburg),Chenin Blanc,Blue Plate,white,no
11797,South Africa,"Aromas of fynbos, fresh hop flower, lime leaf and lemon verbena abound in the herbal bouquet of this Chenin. Notes of Anjou pear and green apple form a fruity core to ground the assertive herbal characteristics, while hints of dried herbs and honeyed spice unfold on the close.",Chenin Blanc,87,14.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Neethlingshof 2014 Chenin Blanc (Stellenbosch),Chenin Blanc,Neethlingshof,white,no
11812,France,"This off-dry wine offers fresh acidity and delicious hints of honey and yellow fruits. It is fruity, rich while still full of the typical freshness of young Chenin Blanc. Let the wine round out and drink from 2017.",Le Peu de la Moriette Demi-Sec,86,20.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine Pichot 2014 Le Peu de la Moriette Demi-Sec  (Vouvray),Chenin Blanc,Domaine Pichot,white,no
11840,South Africa,"Vibrant, tart gooseberry, plum and lime aromas are upfront on the bouquet, with additional hints of sweet grass and honeysuckle dancing in the background. The palate offers bright acidity and crisp citrus flavors. Drink now.",Chenin Blanc,88,18.0,Coastal Region,,,Lauren Buzzeo,@laurbuzz,Protea 2013 Chenin Blanc (Coastal Region),Chenin Blanc,Protea,white,no
12343,South Africa,"A crisp, clean and direct selection, this offers great purity and definition. Bright aromas of lime, white melon and apple carry through to the brisk, well-balanced palate, with faint hints of hay and ginger-like spice on the close. Drink now.",Original Unwooded,88,15.0,Coastal Region,,,Lauren Buzzeo,@laurbuzz,Raats Family 2012 Original Unwooded Chenin Blanc (Coastal Region),Chenin Blanc,Raats Family,white,no
12344,South Africa,"Sultry, smoky oak accents the ripe fruit core, full of apricot, peach and pear aromas and flavors. Notes of vanilla custard and orange oil add depth to the medium-weight palate, with brisk acidity that shines on the long, spicy finish. Drink now–2016.",The Renaissance of,88,,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Radford Dale 2012 The Renaissance of Chenin Blanc (Stellenbosch),Chenin Blanc,Radford Dale,white,no
12372,France,"The perfumed character of Vouvray leaps from the glass of this medium-sweet wine. It is lightly honeyed, with fresh acidity that is balanced by stewed apricots and sugared white plums. Drink now.",Les Lys,85,18.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Cave des Producteurs de Vouvray 2013 Les Lys  (Vouvray),Chenin Blanc,Cave des Producteurs de Vouvray,white,no
12428,France,"Crisp apple, grapefruit and almond notes give this wine great vitality and life. With its light, bright texture and fresh feel, it's a perfect apéritif.",La Grande Cuvée,87,20.0,Loire Valley,Saumur,,Roger Voss,@vossroger,Domaine de la Perruche NV La Grande Cuvée  (Saumur),Chenin Blanc,Domaine de la Perruche,white,no
12977,France,"Nutty and honeyed, this is a young, apple-fruited Chenin Blanc with lively acidity and a crisp character that's filled out with a touch of sweetness. It's ready to drink.",Chenin Blanc,84,13.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Marquis de Goulaine 2012  Vouvray,Chenin Blanc,Marquis de Goulaine,white,no
13066,US,"Pale in the glass, this wine from the Jurassic Park Vineyard booms with clean and crisp tropical notes on the nose, showing poached pear, papaya, pineapple and gardenia aromas. Energetic acidity delivers its peach, mango and guava flavors, making for a potent but not treacly palate.",Blanche Old Vine,90,26.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Municipal Winemakers 2016 Blanche Old Vine Chenin Blanc (Santa Barbara County),Chenin Blanc,Municipal Winemakers,white,no
13348,South Africa,"There's an exotic character to this mouthfilling Chenin, with its round melon and tangerine flavors and aromas. Though the wine could use a touch more acid to enliven the mouthfeel, overall it has a classy, curvy character that recommends it.",Chenin Blanc,85,10.0,Wellington,,,Susan Kostrzewa,@suskostrzewa,Amaboko 2007 Chenin Blanc (Wellington),Chenin Blanc,Amaboko,white,no
